tokens;tickers;Total tests;Ecart BB 4d;Position % BB 4d;Position % BB 4h;Position % BB 30m;Tests MM 4d;Tests MM 4h;Tests MM 30m;"Combo RSI";"Tests RSI";Surventes RSI 4d;Surachats RSI 4d;Tests CCI;Test CHOP;chop 4d;chop 4h;chop 30m;Charged chop 4d;Charged chop 4h;Charged chop 30m;notation vol;var vol 1 jour;var vol 7 jours;var vol 14 jours
vulcan-forged;pyr;14;26%;107%;101%;101%;11;111;111;;10;3;373;0;0;46;6;37;64;75;68;4;1%;50%;768%
amber;amb;14;51%;74%;77%;87%;1;111;111;;11;11;72;0;2;57;70;54;49;56;61;1;-5%;2%;-25%
euler;eul;13;57%;58%;26%;101%;11;101;111;;1;4;31;0;1;75;24;38;50;41;71;2;-16%;-7%;1%
bluzelle;blz;13;655%;96%;104%;54%;111;111;110;;0;14;140;0;0;7;6;28;75;79;54;4;4%;28%;46%
trias-token;trias;13;62%;49%;76%;98%;101;111;111;;10;34;-10;0;1;50;66;54;54;57;62;2;1%;16%;3%
voxies;voxel;12;25%;45%;84%;58%;0;111;110;;11;4;-30;0;1;61;33;32;42;61;56;2;0%;-10%;-39%
gitcoin;gtc;12;49%;26%;83%;58%;0;111;111;;10;2;-83;0;1;62;-11;22;41;61;58;4;5%;1296%;456%
unmarshal;marsh;12;79%;22%;91%;89%;1;111;111;;10;15;-93;0;2;57;42;71;38;64;57;2;0%;-2%;5%
bancor;bnt;12;77%;55%;66%;44%;10;111;110;;10;13;24;0;0;24;33;43;50;54;49;2;-12%;-39%;16%
unifi-protocol-dao;unfi;12;639%;124%;81%;24%;11;111;100;;0;7;294;0;1;-7;34;64;87;61;49;3;-5%;30%;64%
dodo;dodo;12;35%;42%;54%;81%;10;1;111;;11;8;-39;0;2;45;63;61;44;48;59;3;1%;3%;13%
jasmycoin;jasmy;12;36%;27%;97%;69%;1;111;111;;11;7;-82;0;1;63;46;34;41;59;62;2;-5%;14%;4%
cudos;cudos;11;108%;83%;73%;0%;111;11;100;;1;9;92;0;1;29;59;39;65;54;41;1;-1%;20%;5%
cere-network;cere;11;18%;48%;79%;43%;1;11;110;;11;10;-8;0;2;71;56;47;41;50;52;2;1%;1%;2%
livepeer;lpt;11;195%;82%;98%;64%;10;11;111;;1;7;94;0;0;25;21;49;59;65;65;3;2%;118%;31%
the-open-network;ton;11;73%;105%;60%;37%;11;111;100;;10;8;259;1;1;23;65;23;63;62;50;2;8%;-5%;-9%
lossless;lss;11;28%;18%;102%;100%;0;11;111;;11;12;-102;0;1;60;20;18;37;72;76;3;10%;13%;0%
blockport;bux;11;50%;18%;59%;82%;0;1;111;;1;1;-115;0;1;63;43;16;37;45;60;0;0%;-42%;-23%
aragon;ant;11;15%;70%;64%;17%;111;110;100;;0;35;71;10;1;77;42;36;58;52;43;1;-1%;-5%;-13%
elastos;ela;11;41%;102%;82%;36%;111;110;0;;10;11;192;0;0;38;-17;51;65;72;39;4;2%;0%;52%
origintrail;trac;11;27%;43%;79%;41%;1;111;110;;11;16;-28;0;1;60;41;36;46;64;46;2;-11%;28%;9%
quick;quick;11;312%;36%;58%;50%;1;101;110;;11;9;-73;0;1;16;74;43;46;52;51;0;0%;-83%;-61%
ethereum;eth;11;26%;9%;74%;81%;0;11;111;;11;14;-134;10;1;43;77;42;39;45;57;2;-1%;6%;26%
bitcoin;btc;11;27%;10%;80%;58%;100;11;110;;11;34;-129;10;1;40;74;44;40;45;52;1;-42%;14%;19%
presearch;pre;11;39%;23%;88%;100%;0;11;111;;11;12;-102;10;2;56;36;67;39;62;67;2;0%;-5%;10%
safepal;sfp;11;49%;103%;49%;42%;111;110;1;;10;9;219;0;0;32;38;27;67;52;46;1;0%;-2%;-21%
arpa;arpa;11;55%;19%;60%;65%;100;111;111;;11;14;-104;0;1;60;24;46;44;53;57;1;-9%;-45%;-87%
paribus;pbx;11;475%;37%;86%;100%;0;111;111;;11;11;-44;0;1;39;56;40;45;62;68;2;7%;2%;10%
frontier-token;front;11;15%;101%;65%;49%;11;110;101;;10;7;119;0;0;36;36;36;53;55;53;3;0%;41%;77%
