tokens,tickers,cours,total_tests,ecart_BB_4d,position_prix_BB_4d,position_prix_BB_4h,position_prix_BB_30m,Tests_MM_4d,Tests_MM_4h,Tests_MM_30m,combo_rsi,Tests_RSI,Surventes_RSI_4d,Surachats RSI 4d,combo_cci,combo_chop,CHOP_4d,CHOP_4h,CHOP_30m,Charged_chop_4d,Charged_chop_4h,Charged_chop_30m,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
0x,zrx,0.554106,6.0,1.6456283793842346,0.736837177267201,0.44553056648424716,0.10252488877269934,111.0,110.0,100.0,,0.0,0.0,25.0,0,10,16.006150589664383,38.89822272810383,20.95416438582138,11.421391716112666,0.0,0.0,2.0,-0.0070185763521702,0.26899779791779016,0.7604992909458349
1inch,1inch,0.368613,4.0,0.08123455303251231,0.15040674590718567,0.6774903962699533,-0.006946827461879481,100.0,10.0,100.0,,10.0,0.0,32.0,10,0,53.43331294615508,45.77198762854125,20.101255082840556,1.6918405465044444,1.5688015974143639,4.753014953100781,1.0,-0.0572947714422897,0.07725261447721538,0.007541687693502271
aave,aave,96.83,5.0,0.05922597687116394,0.4086498250220834,0.5932065010944102,-0.004060427926297127,0.0,11.0,100.0,,110.0,0.0,22.0,10,0,50.44984073411316,44.64550118586775,24.88082300855009,129.99525205184278,11.053677627261678,0.0,3.0,0.049086308145825194,0.05366776965194417,0.04985039602854915
aavegotchi,ghst,0.877222,5.0,0.05806485936749294,0.5366412043882982,0.5406611146423304,-0.003302832342164883,10.0,10.0,100.0,,110.0,1.0,13.0,10,10,48.43696384582069,48.620337919039144,35.44877537429436,0.4915396196276163,0.415483488670489,42.41346144717347,1.0,-0.048454797881812554,-0.055581115293998055,-0.08858935317794854
ac-milan-fan-token,acm,1.97,8.0,0.07825557138180718,0.7018654805142828,0.5658074803145876,0.1289864457977196,110.0,11.0,100.0,,115.0,0.0,12.0,0,10,34.60289705256985,59.19952660055276,31.979641517979474,20.306181622990763,3.0022510966880134,5.712163317064153,1.0,-0.04706808323794077,0.3244075016372764,0.24281647302621767
acala,aca,0.060118,5.0,0.06257526136487375,0.12098580782457197,0.5895674711313259,-0.002768514562365091,0.0,11.0,100.0,,15.0,0.0,28.0,10,10,55.01065375871976,60.59039230417116,41.22521229520743,73.70784121258836,75.24344759707763,55.59247957989861,3.0,-0.006366556563492014,0.18544933624757234,0.4211096590312551
access-protocol,acs,0.00235566,8.0,0.11672365212814693,0.5714656352048455,0.36981998522817494,0.3308867920127125,110.0,101.0,101.0,,7.0,0.0,27.0,0,11,35.55632446037716,42.54875185299251,58.91911862308732,0.0,0.11660616534736334,77.06419168133496,2.0,-0.09836196130667257,-0.10347300546936487,0.007955012332833028
adex,adx,0.164376,8.0,0.058363276195749575,0.3752703988679387,0.6317034783965861,0.18735769219662474,110.0,1.0,110.0,,16.0,0.0,37.0,10,0,50.34206438407045,43.05988125474076,42.01166598469759,0.0,0.0,184.1069283326007,3.0,0.05343282274778022,-0.0561169675411456,0.023001857102886752
adventure-gold,agld,0.908346,3.0,0.14790879040561775,0.6188528205087693,0.31816237401681374,-0.008982595948617085,110.0,0.0,0.0,,100.0,0.0,11.0,0,10,35.88127449138131,48.155104914062306,20.55590518827779,28.012839374347287,31.614449018857165,0.0,3.0,0.03102833427141686,0.03611444732519369,0.05179032780639853
aelf,elf,0.390788,8.0,0.031140111309931794,1.0137373014503195,0.6644173693308398,0.1370673394699455,111.0,110.0,0.0,,112.0,0.0,10.0,0,1,40.15622956601196,19.43334658666,40.29113235474883,212.6806150359182,142.10300414644783,0.0,2.0,-0.0091235166423155,-0.12951052070432634,-0.43082282039365716
aergo,aergo,0.149088,7.0,0.06377753190352126,1.0102718722320823,0.63030751344272,0.31164676938427804,11.0,111.0,0.0,,110.0,0.0,3.0,0,1,47.6484341498334,15.049137961385,63.58716466051562,57.512814159280495,45.08590138159217,3.5640298169747098,2.0,0.05924255969031117,-0.7496911747647436,-0.5681211162903472
aioz-network,aioz,0.02175951,10.0,0.1693887448609616,0.8593245327375653,0.9209253920490243,0.29644297244961787,111.0,111.0,100.0,,115.0,0.0,32.0,10,1,36.98750534423067,20.44407562639191,70.42039520767952,0.0,1.699364622397738,30.20821108983047,3.0,0.0019885072375426475,0.0916801149108444,1.7519701998093873
