tokens;tickers;Total_tests;Ecart_BB4d;Position_BB_4d;Position_BB_4h;Position_BB_30m;Tests_MM_4d;Tests_MM_4h;Tests_MM_30m;Combo_RSI;Tests_RSI;Surventes_RSI_4d;Surachats_RSI_4d;Tests_CCI;Test_CHOP;chop_4d;chop_4h;chop_30m;Charged_chop_4d;Charged_chop_4h;Charged_chop_30m;notation;var_1_jour;var_7_jours;var_14_jours
wemix-token;wemix;16;182%;108%;77%;60%;11;111;111;;10;10;213;0;2;7;64;68;74;62;54;1;0%;20%;25%
euler;eul;15;22%;83%;93%;100%;111;111;111;;11;7;124;0;1;67;48;29;55;67;70;2;-11%;12%;12%
streamr;data;15;29%;81%;87%;90%;1;111;111;;10;13;70;0;3;59;63;68;54;57;56;0;-11%;-5%;0%
nakamoto-games;naka;14;120%;110%;93%;74%;111;111;110;vente;10;45;249;0;0;20;13;36;79;80;60;3;0%;4%;4%
aragon;ant;14;33%;103%;83%;52%;111;111;110;;0;42;235;10;1;44;46;66;70;62;53;1;-1%;0%;4%
origintrail;trac;14;25%;60%;100%;85%;1;111;111;;10;18;17;0;1;75;26;31;49;72;66;3;4%;-31%;-35%
dexe;dexe;14;7%;84%;81%;84%;11;111;11;;10;7;114;0;2;87;42;56;50;60;56;3;0%;12%;26%
morpheus-network;mnw;14;14%;66%;102%;75%;11;111;111;;11;18;21;0;1;73;13;33;47;75;68;3;1%;23%;52%
moviebloc;mbl;14;42%;64%;100%;100%;101;111;111;;11;13;35;0;1;42;63;36;56;64;66;3;3%;84%;102%
sharering;shr;14;32%;24%;94%;99%;0;11;111;;11;11;-89;0;3;68;60;63;38;55;62;4;0%;8%;35%
og-fan-token;og;14;46%;63%;76%;100%;10;111;111;;11;7;44;10;2;49;56;69;49;55;59;2;2%;-10%;15%
merit-circle;mc;14;132%;73%;101%;87%;111;11;111;;1;7;75;0;0;44;48;32;59;59;64;3;0%;11%;47%
liquity;lqty;14;69%;77%;95%;100%;1;111;111;;11;17;52;0;1;61;12;17;54;74;79;3;13%;-22%;10%
kadena;kda;14;38%;43%;90%;72%;1;111;111;;10;0;-36;0;1;63;34;42;42;63;57;2;2%;12%;24%
sweatcoin;sweat;14;79%;104%;102%;63%;111;111;110;;11;5;193;0;0;32;27;29;70;77;63;3;1%;31%;53%
ampleforth-governance-token;forth;14;33%;70%;80%;31%;11;111;110;;10;4;52;0;2;68;36;64;54;58;48;3;1%;42%;161%
venus;xvs;14;49%;90%;97%;99%;11;111;111;;10;10;114;0;0;33;37;38;59;67;67;2;3%;32%;32%
contentos;cos;14;32%;39%;85%;64%;1;111;111;;10;7;-38;0;2;56;37;67;43;71;53;2;-1%;-21%;-11%
