kambria;kat;11;99%;28%;38%;100%;0;101;111;;11;15;-74;0;2;63;91;37;39;50;65;1;23%;1%;-44%
wrapped-nxm;wnxm;8;10%;65%;35%;0%;111;0;100;;0;41;37;10;1;53;59;40;56;46;32;3;9%;-1%;10%
cudos;cudos;6;87%;5%;-1%;24%;100;0;0;;0;8;-136;10;1;34;35;66;36;28;23;3;0%;11%;19%
cere-network;cere;7;13%;27%;32%;0%;0;0;0;;10;8;-87;0;2;62;70;43;39;45;36;0;0%;-1%;-5%
euler;eul;10;23%;53%;-1%;51%;110;0;1;;1;7;34;0;2;61;1;64;50;14;43;2;0%;6%;17%
maker;mkr;10;58%;81%;46%;60%;111;1;110;;1;24;101;10;0;28;50;54;69;48;55;2;2%;4%;0%
vulcan-forged;pyr;5;40%;22%;47%;0%;0;1;100;;1;1;-108;0;0;33;37;22;42;48;36;2;13%;18%;13%
gifto;gto;6;594%;73%;24%;7%;11;0;0;;1;15;86;0;0;16;29;49;54;36;35;0;-4%;-13%;-24%
dydx;dydx;12;18%;49%;82%;75%;1;111;111;;11;10;6;0;1;68;48;45;50;59;59;1;8%;-12%;-22%
energi;nrg;11;408%;39%;71%;54%;0;11;10;;11;7;-48;0;3;125;77;71;45;52;50;3;0%;7%;2%
ark;ark;11;439%;76%;28%;86%;110;101;11;;1;10;87;10;0;8;36;36;61;48;58;3;2%;49%;2%
tellor;trb;13;957%;87%;52%;41%;111;101;110;;1;14;110;0;1;-9;65;41;78;53;45;1;2%;-4%;-12%
livepeer;lpt;6;111%;52%;36%;0%;101;0;0;;0;8;6;0;1;52;63;53;52;48;37;3;1%;1%;14%
aleph;aleph;8;48%;24%;51%;34%;0;10;0;;10;7;-99;0;3;66;57;79;41;47;45;2;2%;-7%;17%
the-open-network;ton;10;163%;70%;35%;65%;10;101;110;;1;28;62;10;0;15;48;39;57;48;51;2;15%;5%;5%
world-mobile-token;wmt;9;55%;99%;49%;69%;11;100;10;;10;3;175;1;0;36;44;44;62;59;51;0;-1%;-3%;-9%
wax;waxp;10;52%;49%;77%;14%;1;111;100;;10;5;-8;0;0;54;1;23;45;57;39;4;2%;100%;218%
bifrost-native-coin;bnc;11;34%;39%;56%;81%;101;1;111;;1;13;-33;0;1;64;50;50;48;50;65;3;0%;4%;3%
bitshares;bts;8;20%;48%;31%;31%;1;10;0;;10;1;-1;0;2;70;59;46;50;44;43;2;4%;-27%;-40%
verasity;vra;8;65%;102%;53%;29%;11;10;0;;0;15;178;1;1;15;59;45;66;48;41;0;1%;-11%;-12%
solana;sol;6;49%;72%;0%;0%;101;0;0;;0;3;66;0;1;48;57;27;58;44;29;2;5%;-4%;-6%
step-app-fitfi;fitfi;5;80%;64%;10%;10%;10;0;100;;0;0;45;0;0;36;52;25;45;41;30;2;4%;8%;1%
wing-finance;wing;6;37%;72%;22%;7%;10;0;0;;0;2;63;0;0;47;47;45;53;42;36;3;5%;-32%;-19%
gnosis;gno;6;23%;19%;39%;0%;0;0;0;;1;3;-101;0;2;66;62;52;37;41;36;2;-1%;12%;14%
tron;trx;11;27%;89%;58%;19%;111;10;100;;0;24;117;10;1;26;78;44;66;49;41;2;6%;7%;-2%
