tickers,cours,total_tests,ecart_BB_w,position_prix_BB_w,position_prix_BB_d,position_prix_BB_h4,ZL_MACD_hist,Tests_MM_w,Tests_MM_d,Tests_MM_h4,Tests_RSI,combo_rsi,Tests_CCI,combo_cci,CHOP_w,combo_chop,Hammer_1w,Hammer_1d,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
1INCH,0.1877,6.0,4.696401658204475,0.19886246054312598,0.06108163887226616,0.2762816412887022,101.0,0.0,0.0,1.0,100.0,,100.0,,35.70376537697275,,35.0,13.0,1.0,-0.22135956057949835,-0.18559300986437155,-0.36484089882872844
AAVE,159.56,6.0,2.178764367422824,0.15122105442937395,0.03958475781394581,0.25495378410827496,1.0,100.0,0.0,1.0,100.0,,100.0,,49.73940025863698,,903.0,55.0,1.0,-0.2482158034234923,-0.07587618580204039,-0.5798114726779086
ACA,0.0365,5.0,6.4197854821861,0.1739551447711635,-0.0035118939738600263,0.2858687911357431,101.0,0.0,0.0,1.0,100.0,,101.0,,34.83079135277237,,-1.0,56.0,2.0,0.0058758165465684796,-0.26628114080272036,-0.7064523137493501
ACH,0.02169,4.0,1.2323428010113626,0.23908558135663927,0.1843415505664632,0.3252489658683433,1.0,100.0,0.0,0.0,100.0,,100.0,,47.21702236979165,,-1.0,85.0,0.0,-0.46338542788954135,-0.5586217660055982,0.7262817132735226
ACM,0.912,6.0,2.467552790588386,0.22093390676331406,0.45018508687943787,0.33276353110138485,101.0,0.0,10.0,1.0,0.0,,101.0,,48.629948425592936,,252.0,56.0,0.0,0.36139831578623355,6.156823556769442,2.310171622308642
ADA,0.659,7.0,1.3137100137151265,0.1661781545632764,-0.006271189389908944,0.3336144627910317,1.0,100.0,0.0,1.0,100.0,,100.0,,59.576835329605395,,112.0,31.0,1.0,-0.2930351621902826,0.09527255217314014,-0.6860638469673455
ADX,0.1025,10.0,3.3012192937836637,0.1758503865440731,0.14967026017742685,0.8420982704098262,101.0,0.0,0.0,11.0,100.0,,101.0,,33.474265232584955,,35.0,31.0,1.0,3.232948851554485,-0.2946113845641845,-0.3007551124679012
AERGO,0.0635,3.0,2.785170958950076,0.13586868293802457,0.23387394851307194,-0.007534997111448307,100.0,100.0,0.0,0.0,100.0,,100.0,,37.91064991633387,,35.0,56.0,1.0,0.8226765370909329,-0.7107656481696291,3.0603369255888517
AGIX,0.6141,10.0,1.6602121261456222,0.14227246395304932,0.43357662346608117,0.6273659640546069,1.0,100.0,10.0,1.0,100.0,,100.0,,50.90152702247698,,434.0,355.0,2.0,0.8227596213726825,-0.4628719844347217,0.9185900241795882
AGLD,0.856,7.0,4.344678406602213,0.19838379799937325,-0.00606371188329871,0.2510441265353737,101.0,100.0,0.0,1.0,100.0,,100.0,,35.88597712725528,,182.0,12.0,0.0,-0.05358905962734487,-0.409101239211988,0.3154277814180774
