tickers,cours,total_tests,ecart_BB_m,position_prix_BB_m,position_prix_BB_w,position_prix_BB_d,ZL_MACD_hist,Tests_MM_m,Tests_MM_w,Tests_MM_d,Tests_RSI,combo_rsi,Tests_CCI,combo_cci,CHOP_m,combo_chop,Hammer_1m,Hammer_1w,Tests_VOL,VOL_var_1d,VOL_var_7d,VOL_var_14d
1000MERCIS,28.799999237060547,10.0,0.375397263899542,0.4308127928321094,0.4308127928321094,0.9076087404464682,111.0,101.0,101.0,11.0,1.0,,0.0,,36.472879433286856,,448.0,448.0,0.0,1.3691275167785235,-0.6600470588235294,2.2719971827114684
2CRSI,1.7799999713897705,9.0,0.9300703335050244,0.374879903730186,0.374879903730186,0.8040338211557834,111.0,1.0,1.0,1.0,11.0,,11.0,,53.11019278635266,,469.0,469.0,3.0,-0.42515706233525385,0.39021752373767643,1.7932122551034384
A.S.T. GROUPE,1.1749999523162842,4.0,1.336865331137978,0.24019022751361788,0.24019022751361788,0.2544931659760253,110.0,0.0,0.0,0.0,1.0,,11.0,,40.94619870114847,,462.0,462.0,1.0,0.5663802728022912,-0.26195468952890977,0.14052773144522007
AB SCIENCE,4.034999847412109,5.0,1.199533545551719,0.22613328023327156,0.22613328023327156,0.46950732201527673,111.0,0.0,0.0,1.0,1.0,,11.0,,41.814941148061834,,581.0,581.0,0.0,-0.11803254345379517,-0.4084860969794045,0.7648901529308545
ABC ARBITRAGE,5.840000152587891,8.0,0.05667305955546122,0.43322414258521424,0.43322414258521424,0.49120185755753204,110.0,1.0,1.0,10.0,11.0,,11.0,,58.61491067595863,,-1.0,-1.0,0.0,-0.48798734380865555,0.6545448433610862,-0.08233742720899337
ABEO,17.5,6.0,0.1598642685676936,0.6138314515490193,0.6138314515490193,0.44297751812169966,1.0,10.0,10.0,0.0,11.0,,11.0,,52.529897973204974,,441.0,441.0,0.0,0.3356121814791796,0.7407366009053822,-0.5385159925756464
ABIONYX PHARMA,1.2200000286102295,1.0,1.6306001548759452,0.22002588716293403,0.22002588716293403,0.2584416124050041,110.0,0.0,0.0,0.0,0.0,,1.0,,36.206541372626084,,637.0,637.0,0.0,4.637135017813997,-0.16680722685042335,-0.4147953618483297
ABIVAX,16.34000015258789,12.0,3.3772470818200673,0.6464776219953784,0.6464776219953784,0.827227267542437,0.0,111.0,111.0,11.0,1.0,,0.0,,43.482075608216505,,623.0,623.0,1.0,0.6955710257073962,-0.5516361761446941,2.069631092025717
ABL Diagnostics,8.800000190734863,10.0,1.490313998712784,0.6347744885555485,0.6347744885555485,0.5599521813714787,110.0,11.0,11.0,110.0,11.0,,11.0,,31.269003625184528,uncharged,441.0,441.0,1.0,0.08108108108108109,1359.75,654.6574074074075
ACANTHE DEV.,0.3659999966621399,7.0,0.19448179667422097,0.40155120828051505,0.40155120828051505,0.5863866444249488,110.0,1.0,1.0,110.0,1.0,,1.0,,63.09100066164438,,413.0,413.0,1.0,1.6897717666948435,-0.19231038806295606,0.1511569053314713
ACCOR,34.099998474121094,14.0,0.24635778759396867,0.8351962911198182,0.8351962911198182,0.748522201914127,111.0,111.0,111.0,111.0,11.0,overbuyed,10.0,,57.118508486328714,,490.0,490.0,0.0,-0.30809152357891584,0.03513070020311963,-0.18356682501438762
ACHETER-LOUER.FR,0.00019999999494757503,3.0,3.0497968057819116,0.33157612088228466,0.33157612088228466,0.4344721811922188,0.0,0.0,0.0,10.0,0.0,,11.0,,11.925120050454183,,-1.0,-1.0,3.0,0.35566773943281293,2.0646316862147405,2.9221263922829666
ACTEOS,1.559999942779541,10.0,0.2564658152316835,0.48478766102652565,0.48478766102652565,0.907074883342462,111.0,101.0,101.0,11.0,1.0,,1.0,,56.43491308191763,,462.0,462.0,2.0,3.997239263803681,0.2482316447974665,0.009023001355734897
ACTIA GROUP,4.690000057220459,11.0,0.14822519205291598,0.6021076382012189,0.6021076382012189,0.7589640548228413,111.0,111.0,111.0,111.0,0.0,,1.0,,66.91070199136087,,448.0,448.0,0.0,0.2618042226487524,-0.43712156785211176,-0.6446723318696043
ACTICOR BIOTECH,5.400000095367432,6.0,0.3093941233617725,0.291937456559049,0.291937456559049,0.4459051191008821,110.0,1.0,1.0,10.0,1.0,,11.0,,56.44262012683377,,448.0,448.0,1.0,0.008011393982552965,-0.2358981109721582,-0.5940481065259263
ACTIVIUM GROUP,1.5,8.0,0.6015855578581648,0.6577624440136103,0.6577624440136103,0.4859889513772774,1.0,110.0,110.0,100.0,10.0,,10.0,,33.12338650189515,uncharged,483.0,483.0,0.0,0.3854166666666667,-0.5401369010578717,1.5734302570585754
ADC SIIC,0.06300000101327896,5.0,0.38314597187578603,0.3230855042935658,0.3230855042935658,0.059749502957533895,0.0,10.0,10.0,100.0,10.0,,10.0,,65.72805619417687,,721.0,721.0,2.0,-1.0,-0.43442874692874683,-0.3528893254253082
ADEUNIS,1.5199999809265137,3.0,0.5347743540371538,0.18673104501820745,0.18673104501820745,0.5334702697647048,0.0,0.0,0.0,10.0,0.0,,1.0,,32.969269569519284,,497.0,497.0,2.0,12.198540145985401,0.19558331070685123,-0.17727939884440855
ADOCIA,3.944999933242798,7.0,0.8279729028446136,0.6735477885572463,0.6735477885572463,0.41655211857910784,1.0,10.0,10.0,101.0,10.0,,10.0,,40.2973653520168,,630.0,630.0,1.0,-0.47057898869258574,-0.2518297977918373,3.3406788209578147
ADOMOS,9.999999747378752e-05,4.0,3.7652238952653674,0.3171074743025333,0.3171074743025333,0.4166666666666658,1.0,0.0,0.0,0.0,11.0,,11.0,,45.621321579246334,,483.0,483.0,0.0,-0.7373606982635282,-0.26876079833797933,1.141156808867686
ADP,130.1999969482422,5.0,0.16839412806841747,0.35248366403310816,0.35248366403310816,0.4502238335743869,1.0,100.0,100.0,1.0,0.0,,0.0,,56.83841167063392,,-1.0,-1.0,0.0,-0.22429673071604248,0.08931397750488292,-0.06116376018254386
ADUX,1.3700000047683716,0.0,0.207492813553165,0.1204289819386558,0.1204289819386558,0.19594360910753283,1.0,0.0,0.0,0.0,0.0,,0.0,,45.56714616078017,,413.0,413.0,1.0,-0.7440686521958607,-0.6961039901513506,-0.698281827225378
ADVICENNE,3.630000114440918,0.0,0.36154799835420215,0.21887710412865008,0.21887710412865008,-0.0003455658196138456,0.0,0.0,0.0,0.0,0.0,,0.0,,61.90418939243721,,-1.0,-1.0,1.0,0.8982256275834257,-0.6329161098885215,-0.3998059980583751
ADVINI,20.799999237060547,15.0,0.08566050975848889,0.8433146468556905,0.8433146468556905,0.8421234060098686,1.0,111.0,111.0,111.0,11.0,,11.0,overbuyed,52.529924215493885,,427.0,427.0,0.0,-0.2989949748743719,1.72357132470554,0.2317691301504252
AELIS FARMA,13.899999618530273,4.0,0.024202867235103218,0.1140012104491763,0.1140012104491763,0.15930742806513326,110.0,100.0,100.0,10.0,0.0,,1.0,,51.326895629296715,,420.0,420.0,0.0,-0.2696817420435511,-0.28508991008991014,-0.7502169264185589
AERKOMM INC,2.1600000858306885,0.0,1.0089361429551,0.16453296770750794,0.16453296770750794,0.0,0.0,0.0,0.0,0.0,0.0,oversold,1.0,,0.0,,-1.0,-1.0,0.0,,-0.7142857142857142,1.5999999999999999
AFFLUENT MEDICAL,1.1200000047683716,3.0,0.29063681479453213,0.15235794381121393,0.15235794381121393,0.18649709310660528,1.0,0.0,0.0,0.0,10.0,,10.0,,48.98598457042418,,434.0,434.0,0.0,-0.8470723107871342,-0.4779517575009389,-0.5326602843664124
AFYREN,5.659999847412109,12.0,0.4707745329425351,0.8946905240403698,0.8946905240403698,0.7102777926260171,111.0,11.0,11.0,111.0,11.0,,11.0,,40.616509955119746,,581.0,581.0,1.0,0.23110959836623554,-0.08400176289114147,-0.1666157589103372
AG3I,0.3499999940395355,7.0,0.24137831085924927,0.8818813079129859,0.8818813079129859,0.0,111.0,111.0,111.0,100.0,0.0,overbuyed,10.0,,0.0,,-1.0,-1.0,0.0,,inf,-0.9368318756073858
AGENCE AUTO,2.559999942779541,5.0,0.8648400070705957,0.6100508787683263,0.6100508787683263,0.0,111.0,10.0,10.0,100.0,10.0,,11.0,,0.0,,-1.0,-1.0,0.0,,-0.8857142857142858,-0.7567495322106389
AGP MALAGA SOCIMI,2.950000047683716,0.0,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,,0.0,,,,-1.0,-1.0,0.0,,,
AGRIPOWER,4.789999961853027,8.0,1.095136042540832,0.29937216299581515,0.29937216299581515,1.0009740107946827,111.0,0.0,0.0,11.0,11.0,,11.0,,56.71125469425021,,567.0,567.0,0.0,-0.48546957559229587,0.13156812209844104,0.4038868479706811
AGROGENERATION,0.0478999987244606,8.0,0.7315049933700157,0.21946964379207104,0.21946964379207104,0.6704505707209316,110.0,1.0,1.0,11.0,1.0,,1.0,,44.715719405799966,,413.0,413.0,0.0,-0.4280397878960838,0.6212011483253588,-0.4711185118387899
AIR FRANCE -KLM,1.600000023841858,7.0,0.261262521514239,0.3821904435429687,0.3821904435429687,0.18855898554737205,1.0,110.0,110.0,0.0,10.0,,10.0,,55.43913410435335,,497.0,497.0,2.0,0.8282136944945884,-0.3781989838254842,-0.23637361340683002
AIR LIQUIDE,158.77999877929688,4.0,0.160335354605274,0.6385828890741981,0.6385828890741981,0.41645278088066634,1.0,110.0,110.0,0.0,0.0,,0.0,,67.90346410990547,,413.0,413.0,0.0,-0.30446880791696634,0.27304158676982654,-0.17318094601927028
AIRBUS,133.27999877929688,13.0,0.18170834950616147,0.9152503386379618,0.9152503386379618,0.6800367900172927,110.0,111.0,111.0,110.0,11.0,,11.0,,61.81435553617053,,637.0,637.0,0.0,-0.1577791472558504,-0.052307312480041855,-0.2549082427894982
AIRWELL,5.800000190734863,3.0,0.5964470605188246,0.4014710723572377,0.4014710723572377,0.17481951850684407,0.0,100.0,100.0,0.0,0.0,,0.0,,43.241642181632166,,469.0,469.0,1.0,0.30748429173626024,1.2024606523002297,-0.7077099538833266
AKWEL,13.739999771118164,10.0,0.15082467087520157,0.6987470300591769,0.6987470300591769,0.6915130874270506,110.0,11.0,11.0,10.0,11.0,,11.0,,61.40124450413302,,616.0,616.0,1.0,2.217878585723816,-0.46820778388767287,-0.5100094987305351
ALAN ALLMAN,11.75,11.0,0.4264110771823294,0.8137965259362735,0.8137965259362735,0.6759146323805488,1.0,111.0,111.0,101.0,10.0,,10.0,,44.43239074627211,,434.0,434.0,0.0,1.853637901861252,-0.36680819641868195,-0.7719657505977283
ALCHIMIE,2.0199999809265137,2.0,0.09723388328056463,0.19606435706557046,0.19606435706557046,0.2663988732798049,0.0,0.0,0.0,0.0,10.0,,10.0,,61.53252397877473,,476.0,476.0,0.0,2.044642857142857,0.03334730608349745,1.2088441794414944
ALD,9.835000038146973,5.0,0.2007258541975498,0.4042026659434013,0.4042026659434013,0.7147378661872411,1.0,0.0,0.0,1.0,10.0,,0.0,,60.026653620172645,,-1.0,-1.0,0.0,-0.06371338350038509,0.25929234895740416,-0.3370665185104991
ALEPH FINANCE,2.799999952316284,0.0,0.02940687912063609,-0.01416742428978436,-0.01416742428978436,-0.008498600789406955,0.0,0.0,0.0,0.0,0.0,oversold,0.0,oversold,0.0,uncharged,-1.0,-1.0,2.0,-1.0,129.785,-0.5584477675027578
ALGREEN,0.00019999999494757503,4.0,5.6403896103133855,0.2931036888849513,0.2931036888849513,0.0,110.0,1.0,1.0,0.0,1.0,,1.0,,47.470093534120565,,413.0,413.0,1.0,-0.1751541441759787,-0.6880355151317653,-0.5743369640014233
